key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-486160145,Outcomes of a bedside ultrasound-guided peripherally-inserted central catheter placement across critically-ill older patients.,,,,PloS one,,,,,Lee K and Yoon KW and Kang M and Lee D,,,,,"BACKGROUND: An ultrasound (US)-guided peripherally inserted central catheter (PICC) is a thin, flexible tube inserted into a vein in the upper arm and then guided into a large vein near the heart, using US for precise vein location. We conducted this single-center, retrospective study to describe outcomes of a bedside US-guided PICC across critically-ill older patients in a single small-volume center in an intensive care unit (ICU) setting in Korea. METHODS: We included 452 Korean older ICU patients aged >/=60 years who received PICC at our hospital between January of 2021 and December of 2024. A logistic regression analysis with odds ratio (OR) was performed to identify risk factors of the non-optimal position of catheter tip. The overall PICC-related infection-free survival was expressed as mean+/-standard error, for which 95% confidence intervals (CIs) were provided and the statistical significance was analyzed using the log-rank test. The corresponding Kaplan-Meier survival and hazards were plotted as a curve. RESULTS: There were a total of 13 cases (2.88%) of the PICC-related infection. Of these, there were five cases (1.1%) of PICC-related bloodstream infection. A total of 421 patients (93.1%) had optimal positions of the PICC tip. A logistic regression analysis showed that male sex (OR 0.202; 95% CI 0.078-0.521, p = 0.001), the length of a catheter (OR 0.786; 95% CI 0.683-0.904, p = 0.001) and right side (OR 4.415; 95% CI 1.649-11.824, p = 0.003) were significant risk factors of non-optimal positions of the catheter. Time-to-events are estimated at 56.29 +/- 0.98 days (95% CI 54.37-58.21). Moreover, survival rates are estimated to reach 0.918 +/- 0.032 (95% CI 0.858-0.983) at 31 days of the PICC use. CONCLUSIONS: We describe outcomes of a bedside US-guided PICC across critically-ill older patients in a single small-volume center in an ICU setting in Korea.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Excluded""}",10.1371/journal.pone.0336966 e0336966,"Humans;Male;Female;Aged;*Critical Illness/therapy;Retrospective Studies;Middle Aged;*Catheterization, Central Venous/methods/adverse effects;*Catheterization, Peripheral/methods/adverse effects;Intensive Care Units;Republic of Korea/epidemiology;Aged, 80 and over;Risk Factors;*Ultrasonography, Interventional/methods;Catheter-Related Infections/etiology/epidemiology;Point-of-Care Systems;Ultrasonography",,
rayyan-486160146,Tunneled peripherally inserted central catheter versus non-tunneled and its effects in clinical outcomes: A multicenter randomized clinical trial protocol.,,,,PloS one,,,,,Ceratti RDN and Taxbro K and Chopra V and Hansel LA and Salini CG and Brum ID and Junges M and Dos Santos AG and Rabelo-Silva ER,,,,,"BACKGROUND: The use of peripherally inserted central catheters (PICC) has increased due to its benefits, such as greater durability, safety, comfort, and cost-effectiveness. Technological advancements, such as catheter tip navigation systems and the use of ultrasound, have improved its quality. However, complications still occur, including infections and thrombosis, especially in oncology and intensive care patients. Studies indicate that advanced practices, technology, and specialized teams reduce these risks. New techniques, such as tunneled insertion, show potential for reducing complications, but further research with larger samples is needed to validate these findings. OBJECTIVE: To compare the tunneling technique of PICC to non-tunneling insertion technique regarding the incidence of isolated or combined outcomes of catheter-related bloodstream infection, thrombosis, occlusion, and accidental dislodgement in the adult population within a 30-days period. MATERIALS AND METHODS: In this randomized, parallel, multicenter clinical trial, 840 patients from three reference hospitals will be assigned to two parallel groups (conventional PICC and tunneled PICC groups) through computer-generated stratified randomization. The conventional group will undergo PICC insertion according to routine practice. In the tunneled PICC group, an additional subcutaneous tunneling procedure will be performed. Patients will be followed until PICC removal for any reason or 30 days after insertion, whichever occurs first. The primary outcome is to assess whether subcutaneous tunneling reduces the rate of isolated or combined adverse events (infection, thrombosis, obstruction, and dislodgement) compared to the conventional method. DISCUSSION: Subcutaneous tunneling is a widely used method to reduce complications associated with catheters. However, its application in PICC has not yet been extensively explored, especially in Brazil. A randomized clinical trial is necessary to objectively assess the effects of subcutaneous tunneling in PICC insertion. This protocol aims to provide evidence on the effectiveness of this technique in reducing complications. TRIAL REGISTRATION: Clinical Trials platform NCT06365528.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Excluded""}",10.1371/journal.pone.0342385 e0342385,"Humans;*Catheterization, Peripheral/methods/adverse effects;*Catheter-Related Infections/etiology/epidemiology/prevention & control;*Catheterization, Central Venous/methods/adverse effects;Female;*Central Venous Catheters/adverse effects;Adult;Thrombosis/etiology;Male;Middle Aged;Multicenter Studies as Topic;Randomized Controlled Trials as Topic",,
rayyan-486160147,[Clinical practice guideline for point-of-care ultrasound-guided peripherally inserted central catheter placement in neonates (2026)].,,,,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,,,,,"",,,,,"Peripherally inserted central catheter (PICC) placement is an essential routine procedure in neonatal intensive care units and an important life-support technology. In recent years, point-of-care ultrasound-guided catheter insertion and ultrasound localization of catheter tips have been widely applied in neonatal practice and demonstrate clear advantages over traditional methods. This guideline was developed on the basis of currently available evidence and the practical experience of domestic experts, and it is tailored to the Chinese context. It provides clinical practice recommendations for ultrasound-monitored vascular selection, ultrasound-guided PICC cannulation, and ultrasound localization of the PICC tip. In total, 22 recommendations addressing 10 key clinical questions are presented, covering pre-insertion vascular selection, intra-procedural ultrasound-guided localization, post-insertion dynamic monitoring, and troubleshooting of difficult scenarios. The aim is to promote standardized application of this technology in neonatal intensive care units in China, reduce complications, and improve safety.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Excluded""}",1008-8830(2026)02-0135-12 [pii] 10.7499/j.issn.1008-8830.2505072,"Humans;Infant, Newborn;*Catheterization, Central Venous/methods;*Point-of-Care Systems;*Ultrasonography, Interventional;*Catheterization, Peripheral/methods",,
rayyan-486160148,Predictors of Contrast Extravasation in the Emergency Department: A Case-Control Multi-Center Retrospective Study.,,,,The Journal of emergency medicine,,,,,Cooper G and Downing JV and Lin Y and Yang JM and Asuncion S and Sutherland M and Sommerkamp S and Chasm R and Bond MC and Tran QK,,,,,"BACKGROUND: Intravenous (IV) contrast extravasation (IVCE) is a rare but potentially serious complication that can lead to tissue necrosis, compartment syndrome, prolonged emergency department (ED) length of stays, and the diversion of resources to monitoring extravasation injury. However, studies on IVCE in the ED are limited. OBJECTIVES: This study aims to identify risk factors associated with IVCE in ED patients undergoing contrast-enhanced computed tomography scans. METHODS: We performed a multicenter retrospective 1- to 2-case-control matching study of ED patients from January 2016 to October 2023 by reviewing the institutions' adverse event reporting system. Adult patients with IVCE were identified and matched to controls based on demographics and department environmental factors that may have introduced unmeasurable variability in the risk of IVCE. Multivariable logistic regression was performed to assess clinical factors related to IVCE. RESULTS: We identified 141 IVCE cases and matched them with 266 controls. The mean (+/-standard deviation) age was 58 years (+/-14.5), with 59% of patients being female. Common comorbidities included substance abuse (18.4%), heart failure (13.3%), and chronic kidney disease (10.3%). The most common catheter size was 20-gauge (76.7%). IVCE patients had a significantly longer ED stay compared to controls (653 vs. 525 min, p < 0.001). Ultrasound-guided peripheral IV (USGIV) placement (OR 3.67, 95% CI 2.21-6.09, p < 0.001), and substance abuse (OR 1.86, 95% CI 1.04-3.31, p = 0.036) were associated with increased risk of IVCE. CONCLUSION: USGIV placement was associated with increased odds of IVCE in the ED. Further prospective studies are needed to confirm these findings and explore additional risk factors.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Included""}",S0736-4679(25)00438-X [pii] 10.1016/j.jemermed.2025.11.004,"Humans;Retrospective Studies;Female;Emergency Service, Hospital/organization & administration/statistics & numerical data;Middle Aged;Male;Case-Control Studies;Risk Factors;Aged;*Contrast Media/adverse effects/therapeutic use;*Extravasation of Diagnostic and Therapeutic Materials/etiology/epidemiology;Tomography, X-Ray Computed/methods/adverse effects;Adult;Logistic Models",,
rayyan-486160149,Ultra long peripheral catheter versus accelerated Seldinger technique long peripheral catheter in difficult intravenous access patients (ULAST): a pragmatic randomised controlled trial protocol.,,,,BMJ open,,,,,Pieteraerens W and Vanhonacker D and Beeckman K and Torsy T,,,,,"INTRODUCTION: Ultrasound-guided peripheral cannulation by specialised nurses is increasingly used to improve first-stick success rates in patients with difficult intravenous access (DIVA). Long peripheral catheters are indicated for extended dwell times and the reduction of central venous catheters and their associated complications. Recently, multiple types of catheters and insertion techniques have been used in clinical care. METHODS AND ANALYSIS: This prospective, two-arm, single-centre, non-blinded, pragmatic randomised controlled trial will compare two types of long peripheral catheters. A 63 mm ultra-long peripheral catheter using the catheter-over-needle approach will be compared with an 80-100 mm accelerated Seldinger technique-long peripheral catheter, which is the standard of care. Adult inpatients with DIVA, requiring a long peripheral catheter, will be included. The study aims to compare the mean dwell time, therapy completion rates and incidences of catheter-related thrombosis, infections, phlebitis, infiltration, loss of catheter usability and unplanned removal among adult DIVA patients. A priori sample size calculation based on average dwell times from published studies indicates that a minimum of 52 patients (26 per group) is needed. Consecutive sampling will be used until the sample size is reached. Upon signing the informed consent form, patients will be randomised in a 1:1 ratio using sequentially numbered, opaque, sealed envelopes. Due to the distinct visual differences between the two types of long peripheral catheters, blinding the inserter during the procedure is impractical. ETHICS AND DISSEMINATION: The ethics committee of Ghent University (B6702024000487) and University Hospital of Brussels approved this study. On completion of the study, results will be disseminated via publication in a relevant peer-reviewed scientific journal. No external funding was received for the execution of this trial. The authors declare no conflicts of interest. TRIAL REGISTRATION NUMBER: NCT07005310. PROTOCOL VERSION: Version 1, 17/03/2025.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Excluded""}",10.1136/bmjopen-2025-106079 e106079,"Humans;*Catheterization, Peripheral/methods/instrumentation/adverse effects;Pragmatic Clinical Trials as Topic;Prospective Studies;Randomized Controlled Trials as Topic;Ultrasonography, Interventional;Adult;Catheter-Related Infections/epidemiology;Female",,
rayyan-486160150,Prediction of failure risk on the first attempt of peripheral puncture: Secondary analysis of the SPECTRA control group.,,,,The journal of vascular access,,,,,Prates JDS and Hansel LA and Junges M and Cavalcanti ACD and de Almeida Neto OP and Nunes CR and Maciel PP and Teixeira TO and do Nascimento Ceratti R and Brum ID and Rabelo-Silva ER,,,,,"BACKGROUND: The SPECTRA study compared first-attempt success between ultrasound-guided and conventional peripheral intravenous catheter (PIVC) insertion. This subanalysis evaluated the control group results to determine the number of puncture attempts until successful or failed venous device insertion, stratified according to the Adult Difficult IntraVenous Access Scale (A-DIVA). METHODS: Secondary analysis of the SPECTRA randomized clinical trial (RCT). Patients from the control group who underwent PIVC insertion without ultrasound guidance were included and stratified as high risk or low/moderate risk according to the A-DIVA. Statistical comparisons between the groups were conducted on the number of puncture attempts, insertion failures, catheter dwell time, and clinical outcomes related to PIVC insertion. RESULTS: Of all 84 patients analyzed, 35 were classified as high risk, and 49 as low/moderate risk; 53 (63.1%) were female, mean age 59 +/- 16 years. The main reason for hospitalization was infection; high-risk patients experienced more punctures, with 20 (57%) undergoing four punctures, compared to only 8 (16%) of the low/moderate-risk group, p < 0.001; the overall success rate of PIVC insertion was 17 (48.5%) in high-risk patients versus 43 (88%) in low/moderate-risk patients. Insertion failure occurred in 18 (51.5%) high-risk versus 6 (12%) low/moderate-risk patients, p < 0.001; the high-risk group had a shorter PIVC dwell time: 3 (2-8) days versus 8 (2-8) days in low/moderate-risk group, p = 0.065; PIVC removal due to negative outcomes (obstruction, infiltration, accidental removal) was higher in high-risk patients: 32 (91%) versus 24 (49%), p < 0.001. CONCLUSIONS: Patients classified as high risk in the A-DIVA scale required more puncture attempts, had shorter PIVC dwell times, and experienced more negative outcomes. Using technologies such as ultrasound is beneficial for patients at high risk of failure on the first attempt.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Included"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Included""}",10.1177/11297298251378615,"",,
rayyan-486160151,Vascular access in the newborn: a position paper of Neonatal European Vascular Access Teams (NEVAT).,,,,European journal of pediatrics,,,,,Barone G and Piersigilli F and Pittiruti M,,,,,"Vascular access is a cornerstone of neonatal intensive care, yet current practice remains heterogeneous due to the lack of harmonized international guidelines. In this article, we present a position paper developed by a group of European experts - the Neonatal European Vascular Access Teams (NEVAT) - designed as a guide in planning, inserting, and maintaining vascular access in neonates. The position paper was developed using a not anonymous consensus method. Seven working groups prepared preliminary drafts on seven specific topics: peripheral venous devices, umbilical catheters, epicutaneo-cava catheters, ultrasound-guided central catheters, intraosseous access, peripheral arterial catheters, and infusion line management. The drafts were analyzed, modified, and validated through multiple rounds of open discussion, until full agreement was reached. The resulting position paper advocates a proactive, individualized, and standardized approach. Key elements include evidence-based selection of the device, structured preprocedural evaluation, maximal aseptic precautions, systematic use of ultrasound, securement with cyanoacrylate and semipermeable dressings, and structured post-insertion surveillance. Infusion line management emphasizes the use of closed systems, passive disinfection caps, and checklists. The NEVAT developed this position paper with the purpose of combining best evidence with expert agreement, so as to reduce variability in clinical practice, enhance safety, and improve neonatal outcomes, while encouraging multidisciplinary collaboration and family-centered care. What is Known: * Neonates are highly vulnerable to vascular access complications, but current practice is heterogeneous, with limited evidence-based guidance and significant variability across NICUs. What is New: * The NEVAT group provides the first European position paper on neonatal vascular access, aiming to improve homogeneity in device selection, insertion, and maintenance, promoting a safer and more consistent care.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Excluded""}",10.1007/s00431-025-06717-1,"Humans;Infant, Newborn;Catheterization, Central Venous/methods/standards;*Catheterization, Peripheral/methods/standards;Europe;*Intensive Care, Neonatal/methods/standards;*Vascular Access Devices",,
rayyan-486160152,The Radial Artery Occlusion Paradox: The Larger-Bore Sheath via the Thinner Distal Radial Artery for Coronary Interventional Procedures.,,,,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,,,,,Zhu Q and Li J and Lu J and Liu H and Zong B and Liu Y and Xu D and Lv N and Yin R and Feng C,,,,,"BACKGROUND: The incidence of postoperative complications resulting from radial artery occlusion (RAO) via transradial access (TRA) is relatively high in patients who require percutaneous coronary procedure, especially when complex coronary intervention requires a larger-bore sheath (>/= 7-F). In theory, there should be more RAO following the insertion of a larger-bore sheath via the thinner distal radial artery (dRA) if this artery is chosen as the access for the intervention. Few studies have used 7-F sheaths via distal TRA (dTRA). AIMS: This study aimed to evaluate the association between the use of a 7-F thin-walled sheath via dTRA and the risk of early (within 24 h) RAO. METHODS: A total of 705 patients who underwent distal transradial catheterization using a thin-walled 7-F sheath were enrolled. The primary endpoint was the rate of early RAO, which was evaluated by Doppler ultrasound within 24 h after the operation. RESULTS: Early RAO occurred in 27 cases (3.8%). Multivariate logistic regression analysis revealed that a dRA inner diameter/sheath outer diameter ratio (artery-to-sheath ratio, ASR) < 0.75 (p = 0.035), a body mass index (BMI) < 18.5 kg/m(2) (p = 0.042) and diabetes (p = 0.031) were independent risk factors for the development of early RAO. Receiver operating characteristic (ROC) curve analysis of the ASR for predicting RAO yielded an optimal cutoff of 0.648 (sensitivity 81.8%, specificity 83.0%). CONCLUSION: According to our study, although the inner diameter of dRA was smaller than that of the RA, the incidence of early RAO after the use of a 7-F thin-walled sheath for dRA was relatively low. CLINICAL TRIAL REGISTRATION: As an observational cohort, this study was not prospectively registered in a clinical trial registry.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Excluded""}",10.1002/ccd.70456,"Humans;*Radial Artery/diagnostic imaging/physiopathology;Male;Female;Risk Factors;Aged;Middle Aged;Time Factors;*Catheterization, Peripheral/adverse effects/instrumentation;*Percutaneous Coronary Intervention/adverse effects/instrumentation;*Arterial Occlusive Diseases/diagnostic imaging/epidemiology/etiology/physiopathology;Treatment Outcome;Risk Assessment;*Cardiac Catheters;Equipment Design;Retrospective Studies;Punctures;*Cardiac Catheterization/adverse effects/instrumentation",,
rayyan-486160153,Distal transradial access for percutaneous coronary intervention: a single-center randomized controlled study (DRAGON study).,,,,BMC cardiovascular disorders,,,,,Liu M and Du Y and Cui C and Zhai J and Yu W and Zhang H and Liu H and He X and Shao Z and Tong Y and Liu Y and Song X and Wang N and Li A and Duan F and Li H and Song Y and Li C and Yang Y and Song Y and Song L and Chen J and Yuan J and Yang W and Wu Y and Gao Z and Wang H and Gao L,,,,,"BACKGROUND: Transradial access (TRA) is the standard vascular approach for coronary interventions because it lowers bleeding risk and improves patient comfort. Nevertheless, radial artery occlusion (RAO) remains an important limitation, preventing re-use of the radial artery for subsequent procedures. Distal transradial access (dTRA) has been proposed as a strategy to further reduce RAO while preserving procedural efficacy. AIMS: To assess whether dTRA reduces early and mid-term RAO compared with conventional TRA in patients undergoing percutaneous coronary intervention (PCI). METHODS: In this single-center, prospective, randomized, open-label superiority trial, 426 consecutive patients scheduled for elective PCI between July 2023 and January 2024 were assigned 1:1 to dTRA (n = 213) or TRA (n = 213). Duplex ultrasonography was used to assess RAO at 24 h and 30 days. PRIMARY ENDPOINT: 24-hour RAO; secondary endpoints: 30-day RAO, procedural success, hemostasis time, radiation exposure, and hand/wrist function scores. RESULTS: One patient withdrew consent, leaving 425 patients (dTRA 213, TRA 212) for analysis. The 24-hour RAO rate was significantly lower in the dTRA group compared to the TRA group (0.5% vs. 8.7%, p < 0.001). At 30 days, RAO remained lower in the dTRA group (1.6% vs. 8.2%, p < 0.001). Median hemostasis time was 3.0 h with dTRA versus 6.0 h with TRA (p < 0.001). Procedural success was comparable between groups (82.2% vs. 80.2%; p = 0.72), as was the fluoroscopy dose (1630.0 mGy [1069.0-2481.0] vs. 1598.0 mGy [1039.0-2512.0], p = 0.73). Early wrist function scores were marginally better in the dTRA group (p = 0.048). CONCLUSIONS: In elective PCI patients, dTRA significantly reduces RAO incidence and shortens hemostasis time compared to TRA, without compromising procedural success or increasing radiation exposure, while modestly improving early hand function. These data support routine adoption of dTRA for coronary interventions. TRIAL REGISTRATION: Chinese Clinical Trial Registry: ChiCTR2300073902 (registered on 25 July 2023).","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Excluded""}",10.1186/s12872-025-05456-3 77,"Humans;*Radial Artery/diagnostic imaging;*Percutaneous Coronary Intervention/adverse effects/methods;Male;Female;Middle Aged;Prospective Studies;Aged;Treatment Outcome;*Catheterization, Peripheral/adverse effects/methods;Time Factors;Punctures;Risk Factors;*Arterial Occlusive Diseases/prevention & control/etiology/diagnostic imaging;Risk Assessment",,
rayyan-486160154,Risk factors for deep vein thrombosis during peripherally inserted central catheter-related infections: A retrospective study.,,,,Infectious diseases now,,,,,Petitgas P and Bun R and Tounkara B and Simac C and Bertolotti A and Poubeau P and Koumar Y and Manaquin R and Diallo K and Andry F,,,,,"BACKGROUND: Peripherally inserted central catheters (PICCs) are associated with complications including deep vein thrombosis (DVT) and infections. However, the risk factors for developing DVT specifically during PICC-related infections remain poorly understood. METHODS: We conducted a retrospective observational study in a tertiary-care hospital in Reunion Island, examining adult patients with PICC-related infections between January 2021 and March 2022. Venous Doppler ultrasound results, microbiological data, and clinical variables were analyzed. Univariate analysis was performed to identify factors associated with PICC-related DVT. RESULTS: Among 63 patients with PICC-related infections, 40 underwent Doppler ultrasound examinations, with 12 (19 %) diagnosed with PICC-DVT. Infections with Staphylococcus aureus (P = 0.05) and local signs (P = 0.04) were significantly associated with PICC-DVT. Enterobacterales were the predominant pathogens (42.5 %). The incidence rate of PICC-DVT was 5.0/1000 catheter-days in patients with PICC-related infections. CONCLUSIONS: Staphylococcus aureus infection and local signs are associated with PICC-DVT. Our findings suggest that these factors should be considered when managing patients with PICC-related infections. Prospective studies are needed to develop clinical prediction tools to identify which patients would benefit most from Doppler ultrasound.","RAYYAN-INCLUSION: {""Chang Bing Show Chwan Memorial Hospital""=>""Excluded"", ""Diane""=>""Excluded"", ""Jen Tao""=>""Excluded"", ""Masuni""=>""Excluded""}",S2666-9919(25)00160-5 [pii] 10.1016/j.idnow.2025.105181,"Humans;Retrospective Studies;Male;Female;Risk Factors;*Catheter-Related Infections/complications/microbiology/epidemiology;Middle Aged;*Venous Thrombosis/etiology/epidemiology;Aged;Staphylococcal Infections/complications;*Catheterization, Peripheral/adverse effects;Adult;Staphylococcus aureus;Incidence;*Catheterization, Central Venous/adverse effects;Ultrasonography, Doppler;Aged, 80 and over",,
